2019-03-26 23:41:14 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status half-configured gnupg-agent:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status installed gnupg-agent:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 configure gnupg:amd64 2.1.18-8~deb9u4 <none>
2019-03-26 23:41:14 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status half-configured gnupg:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status installed gnupg:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 configure libgnutls30:amd64 3.5.8-5+deb9u4 <none>
2019-03-26 23:41:14 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
2019-03-26 23:41:14 status half-configured libgnutls30:amd64 3.5.8-5+deb9u4
2019-03-26 23:41:14 status installed libgnutls30:amd64 3.5.8-5+deb9u4
2019-03-26 23:41:14 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2 <none>
2019-03-26 23:41:14 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2019-03-26 23:41:14 configure dirmngr:amd64 2.1.18-8~deb9u4 <none>
2019-03-26 23:41:14 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status half-configured dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 status installed dirmngr:amd64 2.1.18-8~deb9u4
2019-03-26 23:41:14 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2019-03-26 23:41:14 status half-configured libc-bin:amd64 2.24-11+deb9u4
2019-03-26 23:41:14 status installed libc-bin:amd64 2.24-11+deb9u4
